id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-1664905,2022-01-19,000001,Vente,2500000,48,,RUE DES ECOLES,3098,75005,75105,Paris 5e Arrondissement,75,,,75105000BO0077,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.345482,48.849631
2022-1664905,2022-01-19,000001,Vente,2500000,48,,RUE DES ECOLES,3098,75005,75105,Paris 5e Arrondissement,75,,,75105000BO0077,,,21,,33,,,,,,,,2,2,Appartement,150,5,,,,,,2.345482,48.849631
2022-1664910,2022-01-20,000001,Vente,956730,5,,PL DE LA SORBONNE,9032,75005,75105,Paris 5e Arrondissement,75,,,75105000BN0045,,,20,,,,,,,,,,1,2,Appartement,62,2,,,,,,2.342087,48.848439
2022-1664910,2022-01-20,000001,Vente,956730,5,,PL DE LA SORBONNE,9032,75005,75105,Paris 5e Arrondissement,75,,,75105000BN0045,,,20,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.342087,48.848439
2022-1664918,2022-01-05,000001,Vente,500000,32,,RUE PIERRE NICOLE,7467,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0042,,,1,,50,,,,,,,,2,4,Local industriel. commercial ou assimilé,40,0,,,,,,2.33894,48.84051
2022-1664947,2022-01-26,000001,Vente,5907,25,B,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0140,,,159,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.35922,48.839881
2022-1664951,2022-02-01,000001,Vente,455000,3,,RUE DOLOMIEU,2884,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0047,,,10,53.37,,,,,,,,,1,2,Appartement,54,3,,,,,,2.352351,48.842577
2022-1664951,2022-02-01,000001,Vente,455000,3,,RUE DOLOMIEU,2884,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0047,,,10,53.37,,,,,,,,,1,3,Dépendance,,0,,,,,,2.352351,48.842577
2022-1664969,2022-01-03,000001,Vente,620000,6,,RUE ROLLIN,8329,75005,75105,Paris 5e Arrondissement,75,,,75105000AJ0045,,,7,,,,,,,,,,1,2,Appartement,57,3,,,,,,2.351664,48.844847
2022-1664969,2022-01-03,000001,Vente,620000,6,,RUE ROLLIN,8329,75005,75105,Paris 5e Arrondissement,75,,,75105000AJ0045,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.351664,48.844847
2022-1664970,2022-01-25,000001,Vente,8350,4,,RUE SCIPION,8884,75005,75105,Paris 5e Arrondissement,75,,,75105000AS0012,,,202,,,,,,,,,,1,2,Appartement,38,2,,,,,,2.354445,48.838115
